index,Final_description
p03296,"takahashi lives in another world. there are slimes (creatures) of 10000 colors in this world. let us call these colors color 1, 2, ..., 10000. takahashi has n slimes, and they are standing in a row from left to right. the color of the i-th slime from the left is a_i.
if two slimes of the same color are adjacent, they will start to combine themselves. because takahashi likes smaller slimes, he has decided to change the colors of some of the slimes with his magic. takahashi can change the color of one slime to any of the 10000 colors by one spell.
how many spells are required so that no slimes will start to combine themselves? 
"
p03297,"ringo mart, a convenience store, sells apple juice. on the opening day of ringo mart, there were a cans of juice in stock in the morning.
snuke buys b cans of juice here every day in the daytime.
then, the manager checks the number of cans of juice remaining in stock every night.
if there are c or less cans, d new cans will be added to the stock by the next morning. determine if snuke can buy juice indefinitely, that is, there is always b or more cans of juice in stock when he attempts to buy them.
nobody besides snuke buy juice at this store. note that each test case in this problem consists of t queries. 
"
p03302,"you are given two integers a and b.
determine if a+b=15 or a\times b=15 or neither holds. note that a+b=15 and a\times b=15 do not hold at the same time. 
"
p03303,"you are given a string s consisting of lowercase english letters.
we will write down this string, starting a new line after every w letters. print the string obtained by concatenating the letters at the beginnings of these lines from top to bottom. 
"
p03304,"let us define the beauty of a sequence (a_1,... ,a_n) as the number of pairs of two adjacent elements in it whose absolute differences are d.
for example, when d=1, the beauty of the sequence (3, 2, 3, 10, 9) is 3. there are a total of n^m sequences of length m where each element is an integer between 1 and n (inclusive).
find the beauty of each of these n^m sequences, and print the average of those values. 
"
p03305,"kenkoooo is planning a trip in republic of snuke.
in this country, there are n cities and m trains running.
the cities are numbered 1 through n, and the i-th train connects city u_i and v_i bidirectionally.
any city can be reached from any city by changing trains. two currencies are used in the country: yen and snuuk.
any train fare can be paid by both yen and snuuk.
the fare of the i-th train is a_i yen if paid in yen, and b_i snuuk if paid in snuuk. in a city with a money exchange office, you can change 1 yen into 1 snuuk.
however, when you do a money exchange, you have to change all your yen into snuuk.
that is, if kenkoooo does a money exchange when he has x yen, he will then have x snuuk.
currently, there is a money exchange office in every city, but the office in city i will shut down in i years and can never be used in and after that year. kenkoooo is planning to depart city s with 10^{15} yen in his pocket and head for city t, and change his yen into snuuk in some city while traveling.
it is acceptable to do the exchange in city s or city t. kenkoooo would like to have as much snuuk as possible when he reaches city t by making the optimal choices for the route to travel and the city to do the exchange.
for each i=0,...,n-1, find the maximum amount of snuuk that kenkoooo has when he reaches city t if he goes on a trip from city s to city t after i years.
you can assume that the trip finishes within the year. 
"
p03307,"you are given a positive integer n.
find the minimum positive integer divisible by both 2 and n. 
"
p03308,"you are given an integer sequence a of length n.
find the maximum absolute difference of two elements (with different indices) in a. 
"
p03309,"snuke has an integer sequence a of length n. he will freely choose an integer b.
here, he will get sad if a_i and b+i are far from each other.
more specifically, the sadness of snuke is calculated as follows: abs(a_1 - (b+1)) + abs(a_2 - (b+2)) + ... + abs(a_n - (b+n)) here, abs(x) is a function that returns the absolute value of x. find the minimum possible sadness of snuke. 
"
p03315,"there is always an integer in takahashi's mind. initially, the integer in takahashi's mind is 0. takahashi is now going to eat four symbols, each of which is + or -. when he eats +, the integer in his mind increases by 1; when he eats -, the integer in his mind decreases by 1. the symbols takahashi is going to eat are given to you as a string s. the i-th character in s is the i-th symbol for him to eat. find the integer in takahashi's mind after he eats all the symbols. 
"
p03316,"let s(n) denote the sum of the digits in the decimal notation of n.
for example, s(101) = 1 + 0 + 1 = 2. given an integer n, determine if s(n) divides n. 
"
p03317,"there is a sequence of length n: a_1, a_2, ..., a_n. initially, this sequence is a permutation of 1, 2, ..., n. on this sequence, snuke can perform the following operation: choose k consecutive elements in the sequence. then, replace the value of each chosen element with the minimum value among the chosen elements. snuke would like to make all the elements in this sequence equal by repeating the operation above some number of times.
find the minimum number of operations required.
it can be proved that, under the constraints of this problem, this objective is always achievable. 
"
